DATE,CPIAUCSL
3/1/2004,187.1
4/1/2004,187.4
5/1/2004,188.2
6/1/2004,188.9
7/1/2004,189.1
8/1/2004,189.2
9/1/2004,189.8
10/1/2004,190.8
11/1/2004,191.7
12/1/2004,191.7
1/1/2005,191.6
2/1/2005,192.4
3/1/2005,193.1
4/1/2005,193.7
5/1/2005,193.6
6/1/2005,193.7
7/1/2005,194.9
8/1/2005,196.1
9/1/2005,198.8
10/1/2005,199.1
11/1/2005,198.1
12/1/2005,198.1
1/1/2006,199.3
2/1/2006,199.4
3/1/2006,199.7
4/1/2006,200.7
5/1/2006,201.3
6/1/2006,201.8
7/1/2006,202.9
8/1/2006,203.8
9/1/2006,202.8
10/1/2006,201.9
11/1/2006,202
12/1/2006,203.1
1/1/2007,203.437
2/1/2007,204.226
3/1/2007,205.288
4/1/2007,205.904
5/1/2007,206.755
6/1/2007,207.234
7/1/2007,207.603
8/1/2007,207.667
9/1/2007,208.547
10/1/2007,209.19
11/1/2007,210.834
12/1/2007,211.445
1/1/2008,212.174
2/1/2008,212.687
3/1/2008,213.448
4/1/2008,213.942
5/1/2008,215.208
6/1/2008,217.463
7/1/2008,219.016
8/1/2008,218.69
9/1/2008,218.877
10/1/2008,216.995
11/1/2008,213.153
12/1/2008,211.398
1/1/2009,211.933
2/1/2009,212.705
3/1/2009,212.495
4/1/2009,212.709
5/1/2009,213.022
6/1/2009,214.79
7/1/2009,214.726
8/1/2009,215.445
9/1/2009,215.861
10/1/2009,216.509
11/1/2009,217.234
12/1/2009,217.347
1/1/2010,217.488
2/1/2010,217.281
3/1/2010,217.353
4/1/2010,217.403
5/1/2010,217.29
6/1/2010,217.199
7/1/2010,217.605
8/1/2010,217.923
9/1/2010,218.275
10/1/2010,219.035
11/1/2010,219.59
12/1/2010,220.472
1/1/2011,221.187
2/1/2011,221.898
3/1/2011,223.046
4/1/2011,224.093
5/1/2011,224.806
6/1/2011,224.806
7/1/2011,225.395
8/1/2011,226.106
9/1/2011,226.597
10/1/2011,226.75
11/1/2011,227.169
12/1/2011,227.223
1/1/2012,227.842
2/1/2012,228.329
3/1/2012,228.807
4/1/2012,229.187
5/1/2012,228.713
6/1/2012,228.524
7/1/2012,228.59
8/1/2012,229.918
9/1/2012,231.015
10/1/2012,231.638
11/1/2012,231.249
12/1/2012,231.221
1/1/2013,231.679
2/1/2013,232.937
3/1/2013,232.282
4/1/2013,231.797
5/1/2013,231.893
6/1/2013,232.445
7/1/2013,232.9
8/1/2013,233.456
9/1/2013,233.544
10/1/2013,233.669
11/1/2013,234.1
12/1/2013,234.719
1/1/2014,235.288
2/1/2014,235.547
3/1/2014,236.028
4/1/2014,236.468
5/1/2014,236.918
6/1/2014,237.231
7/1/2014,237.498
8/1/2014,237.46
9/1/2014,237.477
10/1/2014,237.43
11/1/2014,236.983
12/1/2014,236.252
1/1/2015,234.747
2/1/2015,235.342
3/1/2015,235.976
4/1/2015,236.222
5/1/2015,237.001
6/1/2015,237.657
7/1/2015,238.034
8/1/2015,238.033
9/1/2015,237.498
10/1/2015,237.733
11/1/2015,238.017
12/1/2015,237.761
1/1/2016,237.652
2/1/2016,237.336
3/1/2016,238.08
4/1/2016,238.992
5/1/2016,239.557
6/1/2016,240.222
7/1/2016,240.101
8/1/2016,240.545
9/1/2016,241.176
10/1/2016,241.741
11/1/2016,242.026
12/1/2016,242.637
1/1/2017,243.618
2/1/2017,244.006
3/1/2017,243.892
4/1/2017,244.193
5/1/2017,244.004
6/1/2017,244.163
7/1/2017,244.243
8/1/2017,245.183
9/1/2017,246.435
10/1/2017,246.626
11/1/2017,247.284
12/1/2017,247.805
1/1/2018,248.859
2/1/2018,249.529
3/1/2018,249.577
4/1/2018,250.227
5/1/2018,250.792
6/1/2018,251.018
7/1/2018,251.214
8/1/2018,251.663
9/1/2018,252.182
10/1/2018,252.772
11/1/2018,252.594
12/1/2018,252.767
1/1/2019,252.561
2/1/2019,253.319
3/1/2019,254.277
4/1/2019,255.233
5/1/2019,255.296
6/1/2019,255.213
7/1/2019,255.802
8/1/2019,256.036
9/1/2019,256.43
10/1/2019,257.155
11/1/2019,257.879
12/1/2019,258.63
1/1/2020,258.906
2/1/2020,259.246
3/1/2020,258.15
4/1/2020,256.126
5/1/2020,255.848
6/1/2020,257.004
7/1/2020,258.408
8/1/2020,259.366
9/1/2020,259.951
10/1/2020,260.249
11/1/2020,260.895
12/1/2020,262.005
1/1/2021,262.518
2/1/2021,263.583
3/1/2021,264.91
4/1/2021,266.752
5/1/2021,268.452
6/1/2021,270.664
7/1/2021,271.994
8/1/2021,272.789
9/1/2021,273.887
10/1/2021,276.434
11/1/2021,278.799
12/1/2021,280.808
1/1/2022,282.39
2/1/2022,284.535
3/1/2022,287.553
4/1/2022,288.764
5/1/2022,291.359
6/1/2022,294.996
7/1/2022,294.977
8/1/2022,295.209
9/1/2022,296.341
10/1/2022,297.863
11/1/2022,298.648
12/1/2022,298.812
1/1/2023,300.356
2/1/2023,301.509
3/1/2023,301.744
4/1/2023,303.032
5/1/2023,303.365
6/1/2023,304.003
7/1/2023,304.628
8/1/2023,306.187
9/1/2023,307.288
10/1/2023,307.531
11/1/2023,308.024
12/1/2023,308.742
1/1/2024,309.685
2/1/2024,311.054
3/1/2024,312.23
