DATE,SPCS20RSA
3/1/2004,156.9182191
4/1/2004,159.3596356
5/1/2004,161.7511666
6/1/2004,164.3054692
7/1/2004,166.3871749
8/1/2004,168.0715615
9/1/2004,169.654298
10/1/2004,171.2970065
11/1/2004,173.0868879
12/1/2004,175.0860926
1/1/2005,177.5460775
2/1/2005,180.2494769
3/1/2005,183.187964
4/1/2005,185.5147322
5/1/2005,187.5497843
6/1/2005,189.5303565
7/1/2005,191.3792584
8/1/2005,193.3674648
9/1/2005,195.6200739
10/1/2005,197.8829667
11/1/2005,200.1482774
12/1/2005,202.177238
1/1/2006,203.7713738
2/1/2006,205.3629281
3/1/2006,206.1465718
4/1/2006,206.6561155
5/1/2006,206.5098921
6/1/2006,205.8073608
7/1/2006,204.9364278
8/1/2006,204.1115418
9/1/2006,203.5855564
10/1/2006,203.549507
11/1/2006,203.652977
12/1/2006,203.4753351
1/1/2007,203.7428739
2/1/2007,204.0706872
3/1/2007,203.9483749
4/1/2007,202.881069
5/1/2007,201.0337571
6/1/2007,198.847197
7/1/2007,196.8445106
8/1/2007,194.8927643
9/1/2007,193.1249479
10/1/2007,190.9797371
11/1/2007,187.9051466
12/1/2007,185.0999349
1/1/2008,182.1400247
2/1/2008,178.5504864
3/1/2008,175.1143312
4/1/2008,172.4427986
5/1/2008,169.5605671
6/1/2008,167.1777192
7/1/2008,164.3996276
8/1/2008,162.1158462
9/1/2008,159.1147012
10/1/2008,156.2967684
11/1/2008,153.6593274
12/1/2008,150.7277632
1/1/2009,147.715674
2/1/2009,145.6128685
3/1/2009,142.7198821
4/1/2009,141.5598029
5/1/2009,140.8418341
6/1/2009,141.2908313
7/1/2009,142.2498278
8/1/2009,143.4766609
9/1/2009,144.0723229
10/1/2009,144.7960691
11/1/2009,145.4742003
12/1/2009,146.2475938
1/1/2010,146.9320685
2/1/2010,146.9099081
3/1/2010,146.2284382
4/1/2010,147.0613152
5/1/2010,147.2696013
6/1/2010,147.0399317
7/1/2010,146.4056454
8/1/2010,145.5437703
9/1/2010,144.5547736
10/1/2010,143.6268158
11/1/2010,143.2822879
12/1/2010,142.9673425
1/1/2011,142.5902212
2/1/2011,142.0376646
3/1/2011,140.4234898
4/1/2011,140.6885151
5/1/2011,140.4248045
6/1/2011,140.3589549
7/1/2011,140.3245975
8/1/2011,140.0508112
9/1/2011,139.4242823
10/1/2011,138.6600545
11/1/2011,137.9431837
12/1/2011,137.3730349
1/1/2012,137.1459733
2/1/2012,136.9928428
3/1/2012,136.6216012
4/1/2012,137.8740135
5/1/2012,139.4502042
6/1/2012,141.0179526
7/1/2012,141.9653872
8/1/2012,142.9527456
9/1/2012,143.8301769
10/1/2012,144.8080188
11/1/2012,145.8127142
12/1/2012,147.1118077
1/1/2013,148.3302214
2/1/2013,149.5681856
3/1/2013,150.9644522
4/1/2013,153.8556098
5/1/2013,156.0028408
6/1/2013,157.8311709
7/1/2013,159.6054313
8/1/2013,161.554998
9/1/2013,163.2911133
10/1/2013,164.810646
11/1/2013,166.0199401
12/1/2013,166.9169561
1/1/2014,167.8559215
2/1/2014,168.4713459
3/1/2014,169.1827435
4/1/2014,169.9263344
5/1/2014,170.2297461
6/1/2014,170.5329487
7/1/2014,170.6397466
8/1/2014,170.9618752
9/1/2014,171.4820805
10/1/2014,172.4091795
11/1/2014,173.1760086
12/1/2014,174.2071816
1/1/2015,175.046081
2/1/2015,176.2908
3/1/2015,176.9642737
4/1/2015,177.7104027
5/1/2015,178.2857489
6/1/2015,178.8435983
7/1/2015,179.3898865
8/1/2015,179.9987319
9/1/2015,180.9209396
10/1/2015,181.9216458
11/1/2015,183.0128434
12/1/2015,183.8503562
1/1/2016,184.6784612
2/1/2016,185.3418158
3/1/2016,186.0898501
4/1/2016,186.9172159
5/1/2016,187.4276025
6/1/2016,188.0770206
7/1/2016,188.7556649
8/1/2016,189.5551771
9/1/2016,190.3743738
10/1/2016,191.2719668
11/1/2016,192.4905178
12/1/2016,193.7826161
1/1/2017,195.0313618
2/1/2017,195.8756544
3/1/2017,196.5802868
4/1/2017,197.2287748
5/1/2017,198.0246093
6/1/2017,198.7708876
7/1/2017,199.9571262
8/1/2017,200.9363646
9/1/2017,202.3278589
10/1/2017,203.4944274
11/1/2017,204.7951911
12/1/2017,205.9675867
1/1/2018,207.3826807
2/1/2018,208.7990042
3/1/2018,209.4326977
4/1/2018,209.927915
5/1/2018,210.5691671
6/1/2018,211.220835
7/1/2018,211.7806891
8/1/2018,212.2505316
9/1/2018,212.956405
10/1/2018,213.6457444
11/1/2018,214.0730429
12/1/2018,214.4461804
1/1/2019,214.5691494
2/1/2019,214.6802594
3/1/2019,214.4420638
4/1/2019,214.7535366
5/1/2019,215.1781797
6/1/2019,215.5782642
7/1/2019,216.0120639
8/1/2019,216.6464887
9/1/2019,217.5257116
10/1/2019,218.5854238
11/1/2019,219.6885628
12/1/2019,220.771447
1/1/2020,221.5274523
2/1/2020,222.347638
3/1/2020,222.6804283
4/1/2020,222.7467045
5/1/2020,222.5322997
6/1/2020,222.8404895
7/1/2020,224.879207
8/1/2020,228.3747921
9/1/2020,232.270989
10/1/2020,236.4672045
11/1/2020,240.1923143
12/1/2020,243.6222523
1/1/2021,246.7671492
2/1/2021,249.5402619
3/1/2021,252.7118053
4/1/2021,256.2595891
5/1/2021,260.5184391
6/1/2021,265.284276
7/1/2021,269.6495111
8/1/2021,273.2477677
9/1/2021,276.7276269
10/1/2021,280.337407
11/1/2021,284.3362087
12/1/2021,289.000504
1/1/2022,294.0409998
2/1/2022,300.4494913
3/1/2022,306.3047142
4/1/2022,310.551967
5/1/2022,313.5947139
6/1/2022,314.4394505
7/1/2022,312.6718178
8/1/2022,309.1184889
9/1/2022,305.9535964
10/1/2022,305.0738799
11/1/2022,304.2648905
12/1/2022,303.0755593
1/1/2023,302.4369259
2/1/2023,302.2097196
3/1/2023,303.1595877
4/1/2023,305.3248825
5/1/2023,307.9834749
6/1/2023,310.4772631
7/1/2023,313.0264798
8/1/2023,315.8335929
9/1/2023,318.131855
10/1/2023,320.2621446
11/1/2023,321.1077528
12/1/2023,322.0585615
1/1/2024,322.6177634
2/1/2024,324.4088511
3/1/2024,325.4883652
